cluster_a,edad,sexo,remuneracion_c_remunerado,remuneracion_c_no_remunerado,remuneracion_c_indeterminado,remuneracion_p_remunerado,remuneracion_p_no_remunerado,remuneracion_p_indeterminado,escolaridad_c_no_escolaridad,escolaridad_c_basico,escolaridad_c_avanzado,escolaridad_c_indeterminado,escolaridad_p_no_escolaridad,escolaridad_p_basico,escolaridad_p_avanzado,escolaridad_p_indeterminado,salud_c_atencion_formal,salud_c_atencion_no_formal,salud_c_atencion_indeterminado,salud_p_atencion_formal,salud_p_atencion_no_formal,salud_p_atencion_indeterminado,pareja_c_si,pareja_c_no,pareja_c_indeterminado,pareja_p_si,pareja_p_no,pareja_p_indeterminado,hijos_c_0,hijos_c_1,hijos_c_2,hijos_c_3_o_mas,hijos_p_0,hijos_p_1,hijos_p_2,hijos_p_3_o_mas,inmigracion1_c_no,inmigracion1_c_si,inmigracion1_c_indeterminado,inmigracion1_p_no,inmigracion1_p_si,inmigracion1_p_indeterminado,inmigracion5_c_no,inmigracion5_c_si,inmigracion5_c_indeterminado,inmigracion5_p_no,inmigracion5_p_si,inmigracion5_p_indeterminado,remuneracion_x_pareja_c_remunerado_x_si,remuneracion_x_pareja_c_no_remunerado_x_si,remuneracion_x_pareja_c_remunerado_x_no,remuneracion_x_pareja_c_no_remunerado_x_no,remuneracion_dado_pareja_p_remunerado_dado_si,remuneracion_dado_pareja_p_no_remunerado_dado_si,remuneracion_dado_pareja_p_remunerado_dado_no,remuneracion_dado_pareja_p_no_remunerado_dado_no,escolaridad_x_hijos_c_no_escolaridad_x_0,escolaridad_x_hijos_c_basico_x_0,escolaridad_x_hijos_c_avanzado_x_0,escolaridad_x_hijos_c_no_escolaridad_x_1,escolaridad_x_hijos_c_basico_x_1,escolaridad_x_hijos_c_avanzado_x_1,escolaridad_x_hijos_c_no_escolaridad_x_2,escolaridad_x_hijos_c_basico_x_2,escolaridad_x_hijos_c_avanzado_x_2,escolaridad_x_hijos_c_no_escolaridad_x_3_o_mas,escolaridad_x_hijos_c_basico_x_3_o_mas,escolaridad_x_hijos_c_avanzado_x_3_o_mas,escolaridad_dado_hijos_p_no_escolaridad_dado_0,escolaridad_dado_hijos_p_basico_dado_0,escolaridad_dado_hijos_p_avanzado_dado_0,escolaridad_dado_hijos_p_no_escolaridad_dado_1,escolaridad_dado_hijos_p_basico_dado_1,escolaridad_dado_hijos_p_avanzado_dado_1,escolaridad_dado_hijos_p_no_escolaridad_dado_2,escolaridad_dado_hijos_p_basico_dado_2,escolaridad_dado_hijos_p_avanzado_dado_2,escolaridad_dado_hijos_p_no_escolaridad_dado_3_o_mas,escolaridad_dado_hijos_p_basico_dado_3_o_mas,escolaridad_dado_hijos_p_avanzado_dado_3_o_mas,remuneracion_x_escolaridad_c_remunerado_x_no_escolaridad,remuneracion_x_escolaridad_c_no_remunerado_x_no_escolaridad,remuneracion_x_escolaridad_c_remunerado_x_basico,remuneracion_x_escolaridad_c_no_remunerado_x_basico,remuneracion_x_escolaridad_c_remunerado_x_avanzado,remuneracion_x_escolaridad_c_no_remunerado_x_avanzado,remuneracion_dado_escolaridad_p_remunerado_dado_no_escolaridad,remuneracion_dado_escolaridad_p_no_remunerado_dado_no_escolarid,remuneracion_dado_escolaridad_p_remunerado_dado_basico,remuneracion_dado_escolaridad_p_no_remunerado_dado_basico,remuneracion_dado_escolaridad_p_remunerado_dado_avanzado,remuneracion_dado_escolaridad_p_no_remunerado_dado_avanzado,salud_x_escolaridad_c_atencion_formal_x_no_escolaridad,salud_x_escolaridad_c_atencion_no_formal_x_no_escolaridad,salud_x_escolaridad_c_atencion_formal_x_basico,salud_x_escolaridad_c_atencion_no_formal_x_basico,salud_x_escolaridad_c_atencion_formal_x_avanzado,salud_x_escolaridad_c_atencion_no_formal_x_avanzado,salud_dado_escolaridad_p_atencion_formal_dado_no_escolaridad,salud_dado_escolaridad_p_atencion_no_formal_dado_no_escolaridad,salud_dado_escolaridad_p_atencion_formal_dado_basico,salud_dado_escolaridad_p_atencion_no_formal_dado_basico,salud_dado_escolaridad_p_atencion_formal_dado_avanzado,salud_dado_escolaridad_p_atencion_no_formal_dado_avanzado,poblacion_total
0,1,H,0,0,59903,0,0,1,0,0,0,59903,0,0,0,1,8909,1811,49183,0.15,0.03,0.82,0,0,59903,0,0,1,59903,0,0,0,1,0,0,0,45848,2360,11695,0.77,0.04,0.2,0,0,59903,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59903
0,1,M,0,0,56630,0,0,1,0,0,0,56630,0,0,0,1,8115,1718,46797,0.14,0.03,0.83,0,0,56630,0,0,1,56630,0,0,0,1,0,0,0,43108,2192,11330,0.76,0.04,0.2,0,0,56630,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56630
0,2,H,0,0,67939,0,0,1,1352,65176,0,1411,0.02,0.96,0,0.02,6558,1710,59671,0.1,0.03,0.88,0,0,67939,0,0,1,67939,0,0,0,1,0,0,0,65056,2441,442,0.96,0.04,0.01,59049,7661,1229,0.87,0.11,0.02,0,0,0,0,0,0,0,0,1352,65176,0,0,0,0,0,0,0,0,0,0,0.02,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67939
0,2,M,0,0,65398,0,0,1,1120,62917,0,1361,0.02,0.96,0,0.02,6390,1635,57373,0.1,0.03,0.88,0,0,65398,0,0,1,65398,0,0,0,1,0,0,0,62687,2275,436,0.96,0.03,0.01,56806,7433,1159,0.87,0.11,0.02,0,0,0,0,0,0,0,0,1120,62917,0,0,0,0,0,0,0,0,0,0,0.02,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65398
0,3,H,1518,74336,1676,0.02,0.96,0.02,500,76663,0,367,0.01,0.99,0,0,5738,1720,70072,0.07,0.02,0.9,586,75978,966,0.01,0.98,0.01,77530,0,0,0,1,0,0,0,74472,2066,992,0.96,0.03,0.01,69585,6909,1036,0.9,0.09,0.01,66,517,1450,73793,0.11,0.88,0.02,0.97,500,76663,0,0,0,0,0,0,0,0,0,0,0.01,0.99,0,0,0,0,0,0,0,0,0,0,40,433,1476,73849,0,0,0.08,0.87,0.02,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77530
0,3,M,296,71969,1572,0,0.97,0.02,317,73241,0,279,0,0.99,0,0,5836,1640,66361,0.08,0.02,0.9,755,72200,882,0.01,0.98,0.01,73585,198,32,22,1,0,0,0,70735,2159,943,0.96,0.03,0.01,66096,6784,957,0.9,0.09,0.01,27,723,269,71219,0.04,0.96,0,0.99,310,72997,0,5,193,0,2,29,0,0,22,0,0,0.99,0,0.03,0.97,0,0.06,0.91,0,0,1,0,8,292,286,71647,0,0,0.03,0.92,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73837
0,4,H,18391,61379,1969,0.22,0.75,0.02,818,76228,3542,1151,0.01,0.93,0.04,0.01,5501,1602,74636,0.07,0.02,0.91,3157,76780,1802,0.04,0.94,0.02,81739,0,0,0,1,0,0,0,77306,2649,1784,0.95,0.03,0.02,73894,6034,1811,0.9,0.07,0.02,1898,1243,16486,60112,0.6,0.39,0.21,0.78,818,76228,3542,0,0,0,0,0,0,0,0,0,0.01,0.93,0.04,0,0,0,0,0,0,0,0,0,196,593,17802,57509,355,3181,0.24,0.72,0.23,0.75,0.1,0.9,233,59,233,59,233,59,0.28,0.07,0,0,0.07,0.02,81739
0,4,M,5146,69232,1174,0.07,0.92,0.02,473,69135,5483,461,0.01,0.92,0.07,0.01,7235,1542,66775,0.1,0.02,0.88,10907,63563,1082,0.14,0.84,0.01,64924,9635,892,101,0.86,0.13,0.01,0,71586,2933,1033,0.95,0.04,0.01,67815,6689,1048,0.9,0.09,0.01,885,10006,4259,59204,0.08,0.92,0.07,0.93,424,58885,5162,38,9292,300,6,868,16,5,90,5,0.01,0.91,0.08,0,0.96,0.03,0.01,0.97,0.02,0.05,0.89,0.05,29,419,4689,63704,421,5059,0.06,0.89,0.07,0.92,0.08,0.92,546,115,546,115,546,115,1.15,0.24,0.01,0,0.1,0.02,75552
0,5,H,38398,29873,1867,0.55,0.43,0.03,1093,57596,10134,1315,0.02,0.82,0.14,0.02,4669,1384,64085,0.07,0.02,0.91,16662,52266,1210,0.24,0.75,0.02,70138,0,0,0,1,0,0,0,64269,4231,1638,0.92,0.06,0.02,61484,6983,1671,0.88,0.1,0.02,12306,4127,26086,25733,0.74,0.25,0.5,0.49,1093,57596,10134,0,0,0,0,0,0,0,0,0,0.02,0.82,0.14,0,0,0,0,0,0,0,0,0,392,660,34787,22139,3122,6960,0.36,0.6,0.6,0.38,0.31,0.69,704,194,704,194,704,194,0.64,0.18,0.01,0,0.07,0.02,70138
0,5,M,14957,50460,668,0.23,0.76,0.01,638,50267,14590,590,0.01,0.76,0.22,0.01,6303,1315,58467,0.1,0.02,0.88,27708,37805,572,0.42,0.57,0.01,31902,24032,8336,1815,0.48,0.36,0.13,0.03,61008,4556,521,0.92,0.07,0.01,56803,8735,547,0.86,0.13,0.01,4443,23242,10511,27197,0.16,0.84,0.28,0.72,458,20129,10772,95,20579,3323,53,7824,452,32,1735,43,0.01,0.63,0.34,0,0.86,0.14,0.01,0.94,0.05,0.02,0.96,0.02,70,546,10960,39180,3896,10669,0.11,0.86,0.22,0.78,0.27,0.73,1422,259,1422,259,1422,259,2.23,0.41,0.03,0.01,0.1,0.02,66085
