cluster_a,edad,sexo,remuneracion_c_remunerado,remuneracion_c_no_remunerado,remuneracion_c_indeterminado,remuneracion_p_remunerado,remuneracion_p_no_remunerado,remuneracion_p_indeterminado,escolaridad_c_no_escolaridad,escolaridad_c_basico,escolaridad_c_avanzado,escolaridad_c_indeterminado,escolaridad_p_no_escolaridad,escolaridad_p_basico,escolaridad_p_avanzado,escolaridad_p_indeterminado,salud_c_atencion_formal,salud_c_atencion_no_formal,salud_c_atencion_indeterminado,salud_p_atencion_formal,salud_p_atencion_no_formal,salud_p_atencion_indeterminado,pareja_c_si,pareja_c_no,pareja_c_indeterminado,pareja_p_si,pareja_p_no,pareja_p_indeterminado,hijos_c_0,hijos_c_1,hijos_c_2,hijos_c_3_o_mas,hijos_p_0,hijos_p_1,hijos_p_2,hijos_p_3_o_mas,inmigracion1_c_no,inmigracion1_c_si,inmigracion1_c_indeterminado,inmigracion1_p_no,inmigracion1_p_si,inmigracion1_p_indeterminado,inmigracion5_c_no,inmigracion5_c_si,inmigracion5_c_indeterminado,inmigracion5_p_no,inmigracion5_p_si,inmigracion5_p_indeterminado,remuneracion_x_pareja_c_remunerado_x_si,remuneracion_x_pareja_c_no_remunerado_x_si,remuneracion_x_pareja_c_remunerado_x_no,remuneracion_x_pareja_c_no_remunerado_x_no,remuneracion_dado_pareja_p_remunerado_dado_si,remuneracion_dado_pareja_p_no_remunerado_dado_si,remuneracion_dado_pareja_p_remunerado_dado_no,remuneracion_dado_pareja_p_no_remunerado_dado_no,escolaridad_x_hijos_c_no_escolaridad_x_0,escolaridad_x_hijos_c_basico_x_0,escolaridad_x_hijos_c_avanzado_x_0,escolaridad_x_hijos_c_no_escolaridad_x_1,escolaridad_x_hijos_c_basico_x_1,escolaridad_x_hijos_c_avanzado_x_1,escolaridad_x_hijos_c_no_escolaridad_x_2,escolaridad_x_hijos_c_basico_x_2,escolaridad_x_hijos_c_avanzado_x_2,escolaridad_x_hijos_c_no_escolaridad_x_3_o_mas,escolaridad_x_hijos_c_basico_x_3_o_mas,escolaridad_x_hijos_c_avanzado_x_3_o_mas,escolaridad_dado_hijos_p_no_escolaridad_dado_0,escolaridad_dado_hijos_p_basico_dado_0,escolaridad_dado_hijos_p_avanzado_dado_0,escolaridad_dado_hijos_p_no_escolaridad_dado_1,escolaridad_dado_hijos_p_basico_dado_1,escolaridad_dado_hijos_p_avanzado_dado_1,escolaridad_dado_hijos_p_no_escolaridad_dado_2,escolaridad_dado_hijos_p_basico_dado_2,escolaridad_dado_hijos_p_avanzado_dado_2,escolaridad_dado_hijos_p_no_escolaridad_dado_3_o_mas,escolaridad_dado_hijos_p_basico_dado_3_o_mas,escolaridad_dado_hijos_p_avanzado_dado_3_o_mas,remuneracion_x_escolaridad_c_remunerado_x_no_escolaridad,remuneracion_x_escolaridad_c_no_remunerado_x_no_escolaridad,remuneracion_x_escolaridad_c_remunerado_x_basico,remuneracion_x_escolaridad_c_no_remunerado_x_basico,remuneracion_x_escolaridad_c_remunerado_x_avanzado,remuneracion_x_escolaridad_c_no_remunerado_x_avanzado,remuneracion_dado_escolaridad_p_remunerado_dado_no_escolaridad,remuneracion_dado_escolaridad_p_no_remunerado_dado_no_escolarid,remuneracion_dado_escolaridad_p_remunerado_dado_basico,remuneracion_dado_escolaridad_p_no_remunerado_dado_basico,remuneracion_dado_escolaridad_p_remunerado_dado_avanzado,remuneracion_dado_escolaridad_p_no_remunerado_dado_avanzado,poblacion_total
0,1,H,0,0,609,0,0,1,0,0,0,609,0,0,0,1,101,14,494,0.17,0.02,0.81,0,0,609,0,0,1,609,0,0,0,1,0,0,0,465,20,124,0.76,0.03,0.2,0,0,609,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609
0,1,M,0,0,537,0,0,1,0,0,0,537,0,0,0,1,79,16,442,0.15,0.03,0.82,0,0,537,0,0,1,537,0,0,0,1,0,0,0,399,19,119,0.74,0.04,0.22,0,0,537,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537
0,2,H,0,0,651,0,0,1,10,623,0,18,0.02,0.96,0,0.03,60,18,573,0.09,0.03,0.88,0,0,651,0,0,1,651,0,0,0,1,0,0,0,619,29,3,0.95,0.04,0,573,67,11,0.88,0.1,0.02,0,0,0,0,0,0,0,0,10,623,0,0,0,0,0,0,0,0,0,0,0.02,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651
0,2,M,0,0,656,0,0,1,11,633,0,12,0.02,0.96,0,0.02,49,16,591,0.07,0.02,0.9,0,0,656,0,0,1,656,0,0,0,1,0,0,0,631,22,3,0.96,0.03,0,569,79,8,0.87,0.12,0.01,0,0,0,0,0,0,0,0,11,633,0,0,0,0,0,0,0,0,0,0,0.02,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656
0,3,H,18,772,14,0.02,0.96,0.02,6,792,0,6,0.01,0.99,0,0.01,62,15,727,0.08,0.02,0.9,5,786,13,0.01,0.98,0.02,804,0,0,0,1,0,0,0,774,17,13,0.96,0.02,0.02,718,72,14,0.89,0.09,0.02,1,4,17,766,0.2,0.8,0.02,0.97,6,792,0,0,0,0,0,0,0,0,0,0,0.01,0.99,0,0,0,0,0,0,0,0,0,0,0,6,18,764,0,0,0,1,0.02,0.96,0,0,804
0,3,M,2,759,15,0,0.98,0.02,5,768,0,3,0.01,0.99,0,0,53,22,701,0.07,0.03,0.9,6,763,7,0.01,0.98,0.01,772,4,0,0,0.99,0.01,0,0,749,20,7,0.97,0.03,0.01,702,67,7,0.9,0.09,0.01,0,6,2,753,0,1,0,0.99,5,764,0,0,4,0,0,0,0,0,0,0,0.01,0.99,0,0,1,0,0,0,0,0,0,0,0,5,2,753,0,0,0,1,0,0.98,0,0,776
0,4,H,207,615,20,0.25,0.73,0.02,13,779,38,12,0.02,0.93,0.05,0.01,58,20,764,0.07,0.02,0.91,37,786,19,0.04,0.93,0.02,842,0,0,0,1,0,0,0,796,28,18,0.95,0.03,0.02,764,61,17,0.91,0.07,0.02,25,12,182,602,0.68,0.32,0.23,0.77,13,779,38,0,0,0,0,0,0,0,0,0,0.02,0.93,0.05,0,0,0,0,0,0,0,0,0,2,11,198,570,7,31,0.15,0.85,0.25,0.73,0.18,0.82,842
0,4,M,53,690,17,0.07,0.91,0.02,6,685,60,9,0.01,0.9,0.08,0.01,71,18,671,0.09,0.02,0.88,125,619,16,0.16,0.81,0.02,641,108,9,2,0.84,0.14,0.01,0,714,32,14,0.94,0.04,0.02,688,57,15,0.91,0.08,0.02,6,119,47,571,0.05,0.95,0.08,0.92,5,575,53,1,100,6,0,9,0,0,1,1,0.01,0.9,0.08,0.01,0.93,0.06,0,1,0,0,0.5,0.5,0,5,48,629,5,55,0,0.83,0.07,0.92,0.08,0.92,760
0,5,H,344,303,21,0.51,0.45,0.03,8,542,104,14,0.01,0.81,0.16,0.02,57,21,590,0.09,0.03,0.88,137,518,13,0.21,0.78,0.02,668,0,0,0,1,0,0,0,601,47,20,0.9,0.07,0.03,576,72,20,0.86,0.11,0.03,101,33,243,269,0.74,0.24,0.47,0.52,8,542,104,0,0,0,0,0,0,0,0,0,0.01,0.81,0.16,0,0,0,0,0,0,0,0,0,2,6,318,215,23,81,0.25,0.75,0.59,0.4,0.22,0.78,668
0,5,M,158,487,7,0.24,0.75,0.01,4,510,134,4,0.01,0.78,0.21,0.01,71,13,568,0.11,0.02,0.87,288,358,6,0.44,0.55,0.01,289,258,89,16,0.44,0.4,0.14,0.02,602,44,6,0.92,0.07,0.01,551,95,6,0.85,0.15,0.01,47,240,111,246,0.16,0.83,0.31,0.69,3,184,98,1,223,34,0,88,1,0,15,1,0.01,0.64,0.34,0,0.86,0.13,0,0.99,0.01,0,0.94,0.06,0,4,116,391,42,92,0,1,0.23,0.77,0.31,0.69,652
