cluster_a;edad;sexo;poblacion;grupo_edad;escolarizacion;atencion_salud_formal;trabajo_remunerado;p_escolarizacion;p_atencion_salud_formal;p_trabajo_remunerado
0;1;h;59903;1;59903;8909;0;1;0.148723770094987;0
0;1;m;56630;1;56630;8115;0;1;0.143298604979693;0
0;2;h;67939;1;66587;6558;0;0.980099795404701;0.0965277675561901;0
0;2;m;65398;1;64278;6390;0;0.982874094008991;0.0977094100737026;0
0;3;h;77530;2;77030;5738;1518;0.993550883528956;0.0740100606216948;0.019579517606088
0;3;m;73837;2;73520;5836;296;0.995706759483728;0.0790389642049379;0.00400883026125113
0;4;h;81739;3;80921;5501;18391;0.989992537222134;0.067299575478046;0.224996635632929
0;4;m;75552;3;75079;7235;5146;0.993739411266413;0.095761859381618;0.0681120288013554
0;5;h;70138;4;69045;4669;38398;0.984416436168696;0.0665687644358265;0.547463571815564
0;5;m;66085;4;65447;6303;14957;0.990345766815465;0.0953771657713551;0.226329726866914
0;6;h;61089;5;59716;4425;40907;0.97752459526265;0.0724352993173894;0.669629556876033
0;6;m;59770;5;58910;6150;17238;0.985611510791367;0.102894428643132;0.288405554626067
0;7;h;56981;5;55169;4690;40705;0.96819992629122;0.0823081378003194;0.714360927326653
0;7;m;56619;5;55425;6589;17045;0.978911672760028;0.116374361963299;0.301047351595754
0;8;h;56354;6;54260;5096;41069;0.962842034283281;0.090428363558931;0.72876814423111
0;8;m;55959;6;54382;7408;17459;0.971818652942333;0.132382637288014;0.311996282992905
0;9;h;50406;6;47997;5142;36933;0.952208070467801;0.102011665277943;0.732710391620045
0;9;m;50317;6;48342;7522;15133;0.960748852276567;0.149492219329451;0.300753224556313
0;10;h;49064;6;46065;5669;35921;0.938875754117072;0.115542964291538;0.732125387249307
0;10;m;48069;6;45512;8560;13519;0.946805633568412;0.17807734714681;0.28124154860721
0;11;h;46422;6;42650;6215;32958;0.918745422429021;0.133880487699798;0.709965102753005
0;11;m;45374;6;41909;9270;11485;0.923634680654119;0.204302023185084;0.253118526028122
0;12;h;41353;6;36975;6478;28178;0.894131018305806;0.156651270766329;0.681401591178391
0;12;m;40590;6;36313;9275;8647;0.894629219019463;0.22850455777285;0.213032766691303
0;13;h;34365;7;29499;6794;21652;0.858402444347447;0.197701149425287;0.630059653717445
0;13;m;33794;7;28744;8715;5669;0.85056518908682;0.257886015268983;0.167751671894419
0;14;h;28572;7;23498;6536;16154;0.822413551728965;0.228755424891502;0.565378692426151
0;14;m;27953;7;22475;8074;3305;0.804028190176368;0.288841984760133;0.118234178800129
0;15;h;22171;7;17423;5960;10346;0.785846375896441;0.268819629245411;0.466645618149835
0;15;m;22478;7;16981;7008;1916;0.755449773111487;0.311771509920811;0.0852389002580301
