,u_dpto,u_mpio,poblacion,alfabetizacion,analfabetismo,escolarizado,descolarizado,remunerado,no_remunerado,atencion_formal,atencion_informal,no_necesita_atencion,sexo_m,sexo_f,labels
0,13,600,8125,0.787446,0.212554,0.806769,0.193231,0.288985,0.711015,0.098338,0.008492,0.893169,4290,3835,4
1,15,162,3636,0.89659,0.10341,0.914741,0.085259,0.319032,0.680968,0.239824,0.05308,0.707096,1755,1881,0
2,15,401,956,0.82636,0.17364,0.845188,0.154812,0.388075,0.611925,0.029289,0.002092,0.968619,504,452,3
3,47,980,66802,0.789393,0.210607,0.826832,0.173168,0.323508,0.676492,0.042948,0.010688,0.946364,34063,32739,4
4,52,480,4007,0.880709,0.119291,0.898927,0.101073,0.306214,0.693786,0.05715,0.004991,0.937859,1997,2010,3
5,52,506,6488,0.878545,0.121455,0.908446,0.091554,0.348644,0.651356,0.097719,0.002774,0.899507,3207,3281,3
6,52,520,7430,0.7179,0.2821,0.795828,0.204172,0.294751,0.705249,0.080888,0.016555,0.902557,3720,3710,4
7,70,678,25511,0.729724,0.270276,0.764651,0.235349,0.293403,0.706597,0.047039,0.021403,0.931559,13425,12086,4
8,70,713,47952,0.73119,0.26881,0.769415,0.230585,0.253399,0.746601,0.077953,0.020312,0.901735,24467,23485,4
9,70,742,30188,0.806214,0.193786,0.825195,0.174805,0.300848,0.699152,0.070657,0.013648,0.915695,15249,14939,4
10,70,771,23971,0.752743,0.247257,0.783614,0.216386,0.271286,0.728714,0.070335,0.014351,0.915314,12944,11027,4
11,70,820,32012,0.808134,0.191866,0.837342,0.162658,0.344152,0.655848,0.076596,0.003967,0.919436,15813,16199,3
12,70,823,20033,0.811411,0.188589,0.817102,0.182898,0.344182,0.655818,0.02421,0.003644,0.972146,10216,9817,4
13,73,026,6712,0.81764,0.18236,0.848331,0.151669,0.370381,0.629619,0.082092,0.009833,0.908075,3408,3304,3
14,73,030,6524,0.830625,0.169375,0.858216,0.141784,0.351318,0.648682,0.067137,0.007664,0.925199,3336,3188,3
15,08,558,16222,0.855443,0.144557,0.869128,0.130872,0.359758,0.640242,0.074343,0.016336,0.909321,8203,8019,3
16,13,667,14504,0.781509,0.218491,0.80957,0.19043,0.295505,0.704495,0.02882,0.002137,0.969043,7620,6884,4
17,15,806,11023,0.891409,0.108591,0.896398,0.103602,0.407602,0.592398,0.104872,0.003266,0.891862,5419,5604,1
18,17,495,5949,0.8314,0.1686,0.856446,0.143554,0.31064,0.68936,0.120356,0.012943,0.8667,2965,2984,0
19,20,228,34838,0.798266,0.201734,0.812647,0.187353,0.306648,0.693352,0.073167,0.022045,0.904788,17358,17480,4
20,20,621,26109,0.80861,0.19139,0.822475,0.177525,0.348922,0.651078,0.096289,0.02704,0.876671,13141,12968,3
21,23,586,14705,0.775451,0.224549,0.803604,0.196396,0.224413,0.775587,0.03679,0.006664,0.956545,7439,7266,4
22,23,855,30545,0.787658,0.212342,0.812703,0.187297,0.301719,0.698281,0.018628,0.002652,0.97872,15369,15176,4
23,25,326,6148,0.886304,0.113696,0.908913,0.091087,0.390859,0.609141,0.133865,0.10475,0.761386,3098,3050,1
24,25,769,14874,0.904262,0.095738,0.911725,0.088275,0.524808,0.475192,0.079199,0.016942,0.903859,7436,7438,1
25,94,884,1643,0.628728,0.371272,0.780889,0.219111,0.047474,0.952526,0.100426,0.027998,0.871576,862,781,2
26,27,099,11933,0.587866,0.412134,0.636135,0.363865,0.171038,0.828962,0.057739,0.016341,0.92592,6124,5809,2
27,27,135,5663,0.72753,0.27247,0.757726,0.242274,0.269645,0.730355,0.066043,0.031432,0.902525,2782,2881,4
28,44,855,10198,0.84242,0.15758,0.851343,0.148657,0.287213,0.712787,0.051579,0.005491,0.94293,5048,5150,4
29,44,874,24996,0.835734,0.164266,0.850576,0.149424,0.305489,0.694511,0.066211,0.012642,0.921147,12234,12762,3
30,47,551,34374,0.775877,0.224123,0.803165,0.196835,0.324169,0.675831,0.092774,0.015971,0.891255,17565,16809,4
31,47,660,14060,0.712233,0.287767,0.750782,0.249218,0.307824,0.692176,0.025178,0.00064,0.974182,7554,6506,4
32,52,560,10186,0.872767,0.127233,0.886707,0.113293,0.449146,0.550854,0.077067,0.002847,0.920086,5021,5165,1
33,68,872,6738,0.867765,0.132235,0.893737,0.106263,0.410804,0.589196,0.146631,0.026269,0.8271,3282,3456,1
34,70,110,10007,0.792745,0.207255,0.821425,0.178575,0.276606,0.723394,0.106825,0.001999,0.891176,5011,4996,4
35,70,473,14793,0.810856,0.189144,0.824241,0.175759,0.344622,0.655378,0.054012,0.010072,0.935916,7440,7353,3
36,73,504,29665,0.824878,0.175122,0.848542,0.151458,0.31795,0.68205,0.087409,0.018911,0.893679,15465,14200,3
37,15,114,903,0.859358,0.140642,0.871539,0.128461,0.234773,0.765227,0.062016,0.006645,0.93134,446,457,0
38,94,883,1411,0.7073,0.2927,0.807229,0.192771,0.137491,0.862509,0.051736,0.009922,0.938342,735,676,2
39,05,051,26289,0.792385,0.207615,0.815893,0.184107,0.262619,0.737381,0.063258,0.019248,0.917494,13224,13065,4
